Experiment;Item_type;Stimulus;Condition;Cognate_status;Length;Lg10SUBTLEX_US;correct_response
LDT;exp;ennui;word;noncognate;5;1.3010299956639813;j
LDT;exp;adjuster;word;noncognate;8;1.3222192947339193;j
LDT;exp;fallacy;word;noncognate;7;1.3222192947339193;j
LDT;exp;finality;word;noncognate;8;1.3222192947339193;j
LDT;exp;guesser;word;noncognate;7;1.3222192947339193;j
LDT;exp;headlock;word;noncognate;8;1.3222192947339193;j
LDT;exp;sickbay;word;noncognate;7;1.3222192947339193;j
LDT;exp;cervix;word;noncognate;6;1.3424226808222062;j
LDT;exp;scullery;word;noncognate;8;1.3424226808222062;j
LDT;exp;coercion;word;noncognate;8;1.3617278360175928;j
LDT;exp;infamy;word;noncognate;6;1.3617278360175928;j
LDT;exp;viceroy;word;noncognate;7;1.3617278360175928;j
LDT;exp;knockoff;word;noncognate;8;1.380211241711606;j
LDT;exp;conceit;word;noncognate;7;1.3979400086720377;j
LDT;exp;druggist;word;noncognate;8;1.4313637641589874;j
LDT;exp;linoleum;word;noncognate;8;1.4471580313422192;j
LDT;exp;ejection;word;noncognate;8;1.4913616938342726;j
LDT;exp;castaway;word;noncognate;8;1.5185139398778875;j
LDT;exp;blockage;word;noncognate;8;1.5440680443502757;j
LDT;exp;creeper;word;noncognate;7;1.5797835966168101;j
LDT;exp;gavel;word;noncognate;5;1.6020599913279623;j
LDT;exp;damper;word;noncognate;6;1.6434526764861874;j
LDT;exp;stinger;word;noncognate;7;1.662757831681574;j
LDT;exp;plunger;word;noncognate;7;1.6901960800285136;j
LDT;exp;fuselage;word;noncognate;8;1.724275869600789;j
LDT;exp;baldy;word;noncognate;5;1.7558748556724915;j
LDT;exp;inhaler;word;noncognate;7;1.7853298350107671;j
LDT;exp;downside;word;noncognate;8;1.8260748027008264;j
LDT;exp;geezer;word;noncognate;6;1.845098040014257;j
LDT;exp;ruckus;word;noncognate;6;1.8808135922807914;j
LDT;exp;takeover;word;noncognate;8;1.9084850188786497;j
LDT;exp;strife;word;noncognate;6;1.9344984512435677;j
LDT;exp;rodent;word;noncognate;6;1.968482948553935;j
LDT;exp;stakeout;word;noncognate;8;2.0043213737826426;j
LDT;exp;removal;word;noncognate;7;2.0253058652647704;j
LDT;exp;grunt;word;noncognate;5;2.0569048513364727;j
LDT;exp;outsider;word;noncognate;8;2.0863598306747484;j
LDT;exp;cubicle;word;noncognate;7;2.12057393120585;j
LDT;exp;wacko;word;noncognate;5;2.1522883443830563;j
LDT;exp;hustler;word;noncognate;7;2.1818435879447726;j
LDT;exp;debris;word;noncognate;6;2.2041199826559246;j
LDT;exp;jeopardy;word;noncognate;8;2.24551266781415;j
