Experiment;Item_type;Stimulus;Condition;Length;Lg10SUBTLEX_US;correct_response
LDT;prac;DISPOSAL;word;8;2.399673721481038;j
LDT;prac;GAMBLER;word;7;2.3710678622717363;j
LDT;prac;SELLER;word;6;2.0530784434834195;j
LDT;prac;MERGER;word;6;2.307496037913213;j
LDT;prac;SUTURE;word;6;2.103803720955957;j
LDT;prac;THROOTHE;nonword;8;NA;f
LDT;prac;STRILGE;nonword;7;NA;f
LDT;prac;WRERTH;nonword;6;NA;f
LDT;prac;PHRAUB;nonword;6;NA;f
LDT;prac;GHOLVE;nonword;6;NA;f
LDT;exp;BASEMENT;word;8;3.031408464251624;j
LDT;exp;FORTRESS;word;8;2.2380461031287955;j
LDT;exp;DARKNESS;word;8;2.9508514588885464;j
LDT;exp;DISGUISE;word;8;2.6009728956867484;j
LDT;exp;ELECTION;word;8;2.7489628612561616;j
LDT;exp;DUMBBELL;word;8;1.414973347970818;j
LDT;exp;OMISSION;word;8;1.3222192947339193;j
LDT;exp;SHOWBOAT;word;8;1.3222192947339193;j
LDT;exp;LICORICE;word;8;1.6532125137753437;j
LDT;exp;BULKHEAD;word;8;1.6901960800285136;j
LDT;exp;HAIRLINE;word;8;1.7993405494535817;j
LDT;exp;REVERSAL;word;8;1.7634279935629373;j
LDT;exp;BACKSIDE;word;8;1.9344984512435677;j
LDT;exp;FINALITY;word;8;1.3222192947339193;j
LDT;exp;ADJUSTER;word;8;1.3222192947339193;j
LDT;exp;HENHOUSE;word;8;1.3222192947339193;j
LDT;exp;OVERSEER;word;8;1.3424226808222062;j
LDT;exp;HUNTRESS;word;8;1.3222192947339193;j
LDT;exp;BACKSEAT;word;8;2.0718820073061255;j
LDT;exp;SQUADRON;word;8;2.3521825181113627;j
LDT;exp;EXPOSURE;word;8;2.4653828514484184;j
LDT;exp;OVERTIME;word;8;2.503790683057181;j
LDT;exp;GASOLINE;word;8;2.5237464668115646;j
LDT;exp;JUNKYARD;word;8;2.1398790864012365;j
LDT;exp;EXAMINER;word;8;2.1172712956557644;j
LDT;exp;CUPBOARD;word;8;2.1072099696478683;j
LDT;exp;RESTROOM;word;8;2.100370545117563;j
LDT;exp;UTILITY;word;7;2.060697840353612;j
LDT;exp;KICKOFF;word;7;1.7323937598229686;j
LDT;exp;REMOVAL;word;7;2.0253058652647704;j
LDT;exp;LOOKOUT;word;7;2.357934847000454;j
LDT;exp;PLATOON;word;7;2.56702636615906;j
LDT;exp;COUNCIL;word;7;2.936513742478893;j
LDT;exp;STORAGE;word;7;2.656098202012832;j
LDT;exp;VERDICT;word;7;2.747411807886423;j
LDT;exp;BLADDER;word;7;2.307496037913213;j
LDT;exp;JANITOR;word;7;2.4668676203541096;j
LDT;exp;CIRCUIT;word;7;2.5327543789924976;j
LDT;exp;BAGGAGE;word;7;2.503790683057181;j
LDT;exp;RAMPART;word;7;1.5797835966168101;j
LDT;exp;REDNECK;word;7;1.9590413923210936;j
LDT;exp;GUESSER;word;7;1.3222192947339193;j
LDT;exp;CHANGER;word;7;1.380211241711606;j
LDT;exp;RECTORY;word;7;1.4471580313422192;j
LDT;exp;ANTHILL;word;7;1.4771212547196624;j
LDT;exp;DUSTPAN;word;7;1.146128035678238;j
LDT;exp;EMPRESS;word;7;2.1702617153949575;j
LDT;exp;PURSUIT;word;7;2.5563025007672873;j
LDT;exp;ADVISOR;word;7;2.3541084391474008;j
LDT;exp;GASKET;word;6;1.5440680443502757;j
LDT;exp;DUGOUT;word;6;1.6720978579357175;j
LDT;exp;BARREL;word;6;2.734799829588847;j
LDT;exp;BUSTER;word;6;2.9159272116971158;j
LDT;exp;MARROW;word;6;2.1818435879447726;j
LDT;exp;PESTLE;word;6;1.505149978319906;j
LDT;exp;CORNER;word;6;3.428134794028789;j
LDT;exp;BOOKIE;word;6;2.1172712956557644;j
LDT;exp;LOCKER;word;6;2.9116901587538613;j
LDT;exp;GIRDER;word;6;1.3222192947339193;j
LDT;exp;CATNIP;word;6;1.3424226808222062;j
LDT;exp;GUSHER;word;6;1.3222192947339193;j
LDT;exp;THROAT;word;6;3.2643455070500926;j
LDT;exp;DAGGER;word;6;2.401400540781544;j
LDT;exp;SQUIRE;word;6;2.1986570869544226;j
LDT;exp;DEBRIS;word;6;2.2041199826559246;j
LDT;exp;TENANT;word;6;2.1931245983544616;j
LDT;exp;DOSAGE;word;6;2.012837224705172;j
LDT;exp;ERRAND;word;6;2.311753861055754;j
LDT;exp;VANITY;word;6;2.3242824552976926;j
LDT;exp;JESTER;word;6;2.0718820073061255;j
LDT;exp;ROSTER;word;6;2.0453229787866576;j
LDT;exp;ADDER;word;5;1.8692317197309762;j
LDT;exp;GORGE;word;5;1.8325089127062364;j
LDT;exp;EMERY;word;5;1.9912260756924949;j
LDT;exp;GLAND;word;5;1.8920946026904804;j
LDT;exp;BRIAR;word;5;1.6020599913279623;j
LDT;exp;TORCH;word;5;2.406540180433955;j
LDT;exp;SQUID;word;5;2.1522883443830563;j
LDT;exp;RULER;word;5;2.2121876044039577;j
LDT;exp;BRICK;word;5;2.716003343634799;j
LDT;exp;CHAIN;word;5;3.0346284566253203;j
LDT;exp;ALLEY;word;5;2.920123326290724;j
LDT;exp;ENTRY;word;5;2.79309160017658;j
LDT;exp;GATOR;word;5;2.2671717284030137;j
LDT;exp;BRAKE;word;5;2.48572142648158;j
LDT;exp;MAYOR;word;5;3.2030328870147105;j
LDT;exp;PLATE;word;5;3.116939646550756;j
LDT;exp;CHALK;word;5;2.2648178230095364;j
LDT;exp;BATON;word;5;2.164352855784437;j
LDT;exp;VERGE;word;5;2.225309281725863;j
LDT;exp;SPROURCE;nonword;8;NA;f
LDT;exp;PHLOATHE;nonword;8;NA;f
LDT;exp;SCRORQUE;nonword;8;NA;f
LDT;exp;PHLAITCH;nonword;8;NA;f
LDT;exp;SPROUNGE;nonword;8;NA;f
LDT;exp;WHEIGHTH;nonword;8;NA;f
LDT;exp;SHROURTH;nonword;8;NA;f
LDT;exp;SCROUGHT;nonword;8;NA;f
LDT;exp;STRAITCH;nonword;8;NA;f
LDT;exp;THRARMTH;nonword;8;NA;f
LDT;exp;THROUCHE;nonword;8;NA;f
LDT;exp;PHLARMTH;nonword;8;NA;f
LDT;exp;PHLUSQUE;nonword;8;NA;f
LDT;exp;PHLEATHE;nonword;8;NA;f
LDT;exp;THRORQUE;nonword;8;NA;f
LDT;exp;STROUGHT;nonword;8;NA;f
LDT;exp;PHRORGUE;nonword;8;NA;f
LDT;exp;CLEIGHTH;nonword;8;NA;f
LDT;exp;THWOATHE;nonword;8;NA;f
LDT;exp;SPRISQUE;nonword;8;NA;f
LDT;exp;STROUNCE;nonword;8;NA;f
LDT;exp;SPLORGUE;nonword;8;NA;f
LDT;exp;TREIGHTH;nonword;8;NA;f
LDT;exp;PHRARMTH;nonword;8;NA;f
LDT;exp;STRAUTCH;nonword;8;NA;f
LDT;exp;SCROURTH;nonword;8;NA;f
LDT;exp;THWAUCHE;nonword;8;NA;f
LDT;exp;SHROPSE;nonword;7;NA;f
LDT;exp;SHRUIFF;nonword;7;NA;f
LDT;exp;SCRAUVE;nonword;7;NA;f
LDT;exp;STROUSE;nonword;7;NA;f
LDT;exp;FLOUGHT;nonword;7;NA;f
LDT;exp;SPLYMPH;nonword;7;NA;f
LDT;exp;GHAUTCH;nonword;7;NA;f
LDT;exp;STREMPT;nonword;7;NA;f
LDT;exp;SPEAGUE;nonword;7;NA;f
LDT;exp;THUICHE;nonword;7;NA;f
LDT;exp;STAUGHT;nonword;7;NA;f
LDT;exp;SHREMPT;nonword;7;NA;f
LDT;exp;SPROUST;nonword;7;NA;f
LDT;exp;STRARSH;nonword;7;NA;f
LDT;exp;THRELSE;nonword;7;NA;f
LDT;exp;SHREIGH;nonword;7;NA;f
LDT;exp;STRURVE;nonword;7;NA;f
LDT;exp;PLIRQUE;nonword;7;NA;f
LDT;exp;THRIDGE;nonword;7;NA;f
LDT;exp;SCREICH;nonword;7;NA;f
LDT;exp;CHOUNGE;nonword;7;NA;f
LDT;exp;SPRARGE;nonword;7;NA;f
LDT;exp;PHLELD;nonword;6;NA;f
LDT;exp;PLARSH;nonword;6;NA;f
LDT;exp;TWAULT;nonword;6;NA;f
LDT;exp;CLUISE;nonword;6;NA;f
LDT;exp;SWURGE;nonword;6;NA;f
LDT;exp;KNERGE;nonword;6;NA;f
LDT;exp;MEATHE;nonword;6;NA;f
LDT;exp;TRONGE;nonword;6;NA;f
LDT;exp;CRALPH;nonword;6;NA;f
LDT;exp;FLOATH;nonword;6;NA;f
LDT;exp;SHRARM;nonword;6;NA;f
LDT;exp;SCILGE;nonword;6;NA;f
LDT;exp;SPLULL;nonword;6;NA;f
LDT;exp;SCROCH;nonword;6;NA;f
LDT;exp;DRAULT;nonword;6;NA;f
LDT;exp;MAUCHE;nonword;6;NA;f
LDT;exp;SNOPSE;nonword;6;NA;f
LDT;exp;THREGG;nonword;6;NA;f
LDT;exp;SPRAIF;nonword;6;NA;f
LDT;exp;DWEASH;nonword;6;NA;f
LDT;exp;SHATCH;nonword;6;NA;f
LDT;exp;PRENCH;nonword;6;NA;f
LDT;exp;JOWSE;nonword;5;NA;f
LDT;exp;PLIST;nonword;5;NA;f
LDT;exp;SCOOF;nonword;5;NA;f
LDT;exp;SHIFE;nonword;5;NA;f
LDT;exp;BRIND;nonword;5;NA;f
LDT;exp;KNUBE;nonword;5;NA;f
LDT;exp;FLALF;nonword;5;NA;f
LDT;exp;CLICH;nonword;5;NA;f
LDT;exp;PHIMB;nonword;5;NA;f
LDT;exp;SPRAR;nonword;5;NA;f
LDT;exp;SLERN;nonword;5;NA;f
LDT;exp;WIDGE;nonword;5;NA;f
LDT;exp;SHIMP;nonword;5;NA;f
LDT;exp;SLAMP;nonword;5;NA;f
LDT;exp;FRODE;nonword;5;NA;f
LDT;exp;TWURB;nonword;5;NA;f
LDT;exp;GEMPT;nonword;5;NA;f
LDT;exp;WHUZZ;nonword;5;NA;f
LDT;exp;FOMPT;nonword;5;NA;f
