"Accuracy","Cognate_status","Condition","Experiment","Item_type","Length","Lg10SUBTLEX_US","Participant","RT","Stimulus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Datenschutz_keyboard_response","correct_break_1_keyboard_response","correct_break_1_keyboard_response_1","correct_break_2_keyboard_response","correct_break_2_keyboard_response_1","correct_end_of_exp_keyboard_response","correct_end_of_prac_keyboard_response","correct_instructions_keyboard_response","correct_response","correct_stimulus_keyboard_response","correct_stimulus_keyboard_response_1","count_Datenschutz","count_Datenschutz_keyboard_response","count_break_1","count_break_1_1","count_break_1_keyboard_response","count_break_1_keyboard_response_1","count_break_2_keyboard_response","count_break_2_keyboard_response_1","count_break_2_sketchpad","count_break_2_sketchpad_1","count_end_of_exp","count_end_of_exp_keyboard_response","count_end_of_prac","count_end_of_prac_keyboard_response","count_experiment","count_experimental_loop","count_fixation","count_fixation_1","count_getting_started","count_instructions","count_instructions_keyboard_response","count_logger","count_logger_1","count_participants","count_practice_loop","count_stimulus","count_stimulus_1","count_stimulus_keyboard_response","count_stimulus_keyboard_response_1","count_trial_sequence","count_trial_sequence_1","count_variables","count_variables_1","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Datenschutz_keyboard_response","response_break_1_keyboard_response","response_break_1_keyboard_response_1","response_break_2_keyboard_response","response_break_2_keyboard_response_1","response_end_of_exp_keyboard_response","response_end_of_prac_keyboard_response","response_instructions_keyboard_response","response_stimulus_keyboard_response","response_stimulus_keyboard_response_1","response_time","response_time_Datenschutz_keyboard_response","response_time_break_1_keyboard_response","response_time_break_1_keyboard_response_1","response_time_break_2_keyboard_response","response_time_break_2_keyboard_response_1","response_time_end_of_exp_keyboard_response","response_time_end_of_prac_keyboard_response","response_time_instructions_keyboard_response","response_time_stimulus_keyboard_response","response_time_stimulus_keyboard_response_1","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Datenschutz","time_Datenschutz_keyboard_response","time_break_1","time_break_1_1","time_break_1_keyboard_response","time_break_1_keyboard_response_1","time_break_2_keyboard_response","time_break_2_keyboard_response_1","time_break_2_sketchpad","time_break_2_sketchpad_1","time_end_of_exp","time_end_of_exp_keyboard_response","time_end_of_prac","time_end_of_prac_keyboard_response","time_experiment","time_experimental_loop","time_fixation","time_fixation_1","time_getting_started","time_instructions","time_instructions_keyboard_response","time_logger","time_logger_1","time_participants","time_practice_loop","time_stimulus","time_stimulus_1","time_stimulus_keyboard_response","time_stimulus_keyboard_response_1","time_trial_sequence","time_trial_sequence_1","time_variables","time_variables_1","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","NA","nonword","LDT","prac","8","NA","0","984","throothe","0","0","2501","2501","black","xpyriment","legacy","legacy","0","uniform","0","NA","NA","NA","NA","NA","NA","NA","undefined","f","0","NA","NA","NA","0","NA","0","NA","0","NA","0","NA","0","0","0","0","0","0","0","NA","NA","0","0","0","NA","0","0","0","NA","0","NA","0","NA","0","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","0","0","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","984.0","NA","NA","NA","NA","NA","NA","NA","4019","984","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","6429","NA","NA","1827","1827","7917","NA","1817","5847","6932","NA","6932","NA","6419","NA","7917","NA","NA","LDT","0","5003.0","2","yes","1920"
"0","noncognate","word","LDT","prac","5","2.164352856","0","298","baton","0","0","1767","1767","black","xpyriment","legacy","legacy","0","uniform","0","NA","NA","NA","NA","NA","NA","NA","undefined","j","0","NA","NA","NA","1","NA","1","NA","1","NA","1","NA","0","0","0","0","0","0","1","NA","NA","0","0","1","NA","0","0","1","NA","1","NA","1","NA","1","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","1","1","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","f","NA","NA","NA","NA","NA","NA","NA","space","f","NA","298.0","NA","NA","NA","NA","NA","NA","NA","4019","298","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","8509","NA","NA","1827","1827","9312","NA","1817","5847","9013","NA","9013","NA","8498","NA","9312","NA","NA","LDT","0","5301.0","3","yes","1920"
"1","noncognate","word","LDT","prac","8","2.139879086","0","168","junkyard","33","33","1367","1367","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","2","NA","2","NA","2","NA","2","NA","0","0","0","0","0","0","2","NA","NA","0","0","2","NA","0","0","2","NA","2","NA","2","NA","2","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","2","2","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","168.0","NA","NA","NA","NA","NA","NA","NA","4019","168","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","9923","NA","NA","1827","1827","10595","NA","1817","5847","10426","NA","10426","NA","9913","NA","10595","NA","NA","LDT","1","5469.0","4","yes","1920"
"0","noncognate","word","LDT","prac","6","2.071882007","0","178","jester","25","25","1129","1129","black","xpyriment","legacy","legacy","0","uniform","0","NA","NA","NA","NA","NA","NA","NA","undefined","j","0","NA","NA","NA","3","NA","3","NA","3","NA","3","NA","0","0","0","0","0","0","3","NA","NA","0","0","3","NA","0","0","3","NA","3","NA","3","NA","3","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","3","3","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","f","NA","NA","NA","NA","NA","NA","NA","space","f","NA","178.0","NA","NA","NA","NA","NA","NA","NA","4019","178","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","11195","NA","NA","1827","1827","11877","NA","1817","5847","11698","NA","11698","NA","11184","NA","11877","NA","NA","LDT","1","5647.0","5","yes","1920"
"0","NA","nonword","LDT","prac","8","NA","0","290","sprouche","20","20","989","989","black","xpyriment","legacy","legacy","0","uniform","0","NA","NA","NA","NA","NA","NA","NA","undefined","f","0","NA","NA","NA","4","NA","4","NA","4","NA","4","NA","0","0","0","0","0","0","4","NA","NA","0","0","4","NA","0","0","4","NA","4","NA","4","NA","4","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","4","4","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","290.0","NA","NA","NA","NA","NA","NA","NA","4019","290","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","12477","NA","NA","1827","1827","13272","NA","1817","5847","12980","NA","12981","NA","12466","NA","13272","NA","NA","LDT","1","5937.0","6","yes","1920"
"1","NA","nonword","LDT","prac","8","NA","0","244","pseighth","33","33","883","883","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","f","1","NA","NA","NA","5","NA","5","NA","5","NA","5","NA","0","0","0","0","0","0","5","NA","NA","0","0","5","NA","0","0","5","NA","5","NA","5","NA","5","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","5","5","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","f","NA","NA","NA","NA","NA","NA","NA","space","f","NA","244.0","NA","NA","NA","NA","NA","NA","NA","4019","244","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","13874","NA","NA","1827","1827","14622","NA","1817","5847","14377","NA","14377","NA","13863","NA","14622","NA","NA","LDT","2","6181.0","7","yes","1920"
"1","NA","nonword","LDT","prac","8","NA","0","1203","scrourth","42","42","923","923","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","f","1","NA","NA","NA","6","NA","6","NA","6","NA","6","NA","0","0","0","0","0","0","6","NA","NA","0","0","6","NA","0","0","6","NA","6","NA","6","NA","6","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","6","6","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","f","NA","NA","NA","NA","NA","NA","NA","space","f","NA","1203.0","NA","NA","NA","NA","NA","NA","NA","4019","1203","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","15239","NA","NA","1827","1827","16962","NA","1817","5847","15758","NA","15758","NA","15228","NA","16962","NA","NA","LDT","3","7384.0","8","yes","1920"
"1","noncognate","word","LDT","prac","8","2.10720997","0","251","cupboard","50","50","848","848","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","7","NA","7","NA","7","NA","7","NA","0","0","0","0","0","0","7","NA","NA","0","0","7","NA","0","0","7","NA","7","NA","7","NA","7","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","7","7","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","251.0","NA","NA","NA","NA","NA","NA","NA","4019","251","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","17557","NA","NA","1827","1827","18312","NA","1817","5847","18060","NA","18060","NA","17547","NA","18312","NA","NA","LDT","4","7635.0","9","yes","1920"
"1","NA","nonword","LDT","prac","8","NA","0","233","thwaitch","55","55","786","786","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","f","1","NA","NA","NA","8","NA","8","NA","8","NA","8","NA","0","0","0","0","0","0","8","NA","NA","0","0","8","NA","0","0","8","NA","8","NA","8","NA","8","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","8","8","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","f","NA","NA","NA","NA","NA","NA","NA","space","f","NA","233.0","NA","NA","NA","NA","NA","NA","NA","4019","233","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","18923","NA","NA","1827","1827","19662","NA","1817","5847","19428","NA","19428","NA","18913","NA","19662","NA","NA","LDT","5","7868.0","10","yes","1920"
"1","noncognate","word","LDT","prac","6","2.103803721","0","93","suture","60","60","723","723","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","9","NA","9","NA","9","NA","9","NA","0","0","0","0","0","0","9","NA","NA","0","0","9","NA","0","0","9","NA","9","NA","9","NA","9","NA","NA","Thu Jun  4 17:43:14 2026","The main experiment item","yes","LDT_Gruppe1.osexp","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment","no","mono","no","18","no","white","no","no","1010","legacy","9","9","C:\Users\jasmi\Documents\Master\2_SS26\Sprache, Emotion und Kognition\Project\experiment\subject-0.csv","xpyriment","Neonatal Nightingale","4.1.9","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","93.0","NA","NA","NA","NA","NA","NA","NA","4019","93","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1817","NA","20258","NA","NA","1827","1827","20854","NA","1817","5847","20761","NA","20761","NA","20248","NA","20854","NA","NA","LDT","6","7961.0","11","yes","1920"
